#source_id,id2,RA,Dec,gl,gb,amplitude,beyond1std,fpr_mid20,fpr_mid35,fpr_mid50,fpr_mid65,fpr_mid80,linear_trend,max_slope,med_abs_dev,med_buf_range_per,pair_slope_trend,percent_amplitude,pdfp,skew,kurtosis,std,magratio,data_num,npeaks,peakstats,class
CSS101207:031441+271229,1126016045336,48.670962,27.208150,177.316591,-25.146978,2.205000,0.351351,0.040298,0.054703,0.092427,0.449901,0.752766,-0.000298,99.388379,0.670000,0.810811,0.533333,13.723125,13.850808,-0.851333,-0.312433,1.290874,0.486486,37,2,0.576,0
CSS101214:021308+184416,1118012036560,33.283063,18.737753,186.840431,-39.561804,2.930000,0.088235,0.006984,0.013231,0.019937,0.028619,0.046528,-0.000273,234.265735,0.315000,0.946078,0.400000,54.717984,29.873723,-2.806821,8.365763,1.046230,0.500000,204,6,0.369,0
CSS101214:041126-152324,1015022029916,62.857299,-15.389862,126.530527,-41.710114,2.445000,0.121795,0.159668,0.241338,0.377644,0.518604,0.752661,-0.000136,237.196765,0.275000,0.980769,0.533333,31.359023,1.341503,-3.358513,17.510613,0.647391,0.500000,156,1,0.153,0
CSS101214:054712-174223,1018030060441,86.800680,-17.706591,113.525181,-21.423760,1.400000,0.190476,0.093778,0.159744,0.321367,0.526441,0.875865,-0.000294,122.023810,0.170000,0.952381,0.450000,0.884122,1.190085,1.810618,2.753380,0.670102,0.476190,21,0,0.000,0
CSS110113:043112-031452,1004025056561,67.801800,-3.247560,137.283208,-31.834372,2.735000,0.078014,0.003811,0.006639,0.011372,0.018187,0.031748,0.000059,147.147147,0.260000,0.943262,0.500000,56.016427,43.554299,-2.901874,8.356686,1.064187,0.489362,141,4,0.442,0
CSS110114:091246-034916,5122800405011025529,138.191474,-3.821155,100.859595,29.293578,1.052285,0.419355,0.081389,0.341550,0.638688,0.794232,0.978322,-0.000425,94.687007,0.416340,1.000000,0.566667,2.988254,2.984359,-0.483852,-1.370265,0.700005,0.483871,31,3,0.216,0
CSS110115:003304+380106,1138003039046,8.266531,38.018202,36.447183,-24.475464,2.415000,0.230435,0.049611,0.089986,0.132801,0.176157,0.374214,-0.000171,392.592591,0.425000,0.917391,0.600000,10.271975,6.007341,-0.634172,1.257574,0.864738,0.495652,230,10,0.270,0
CSS110115:234815+181220,6072311812311014415,357.061182,18.205575,52.591892,-42.077348,1.322551,0.354839,0.237074,0.451445,0.545176,0.656855,0.833245,0.000217,90.524242,0.584621,1.000000,0.533333,2.160149,2.200006,0.211740,-1.014356,0.733310,0.483871,31,1,0.327,0
CSS110124:032934+182530,1118018037356,52.391272,18.424887,168.128227,-29.897802,1.925000,0.247423,0.035912,0.064158,0.105795,0.196749,0.413372,-0.000339,232.919255,0.390000,0.927835,0.400000,12.803843,7.744211,-1.359751,1.481880,0.873324,0.474227,97,6,0.140,0
CSS110124:082604+113821,1112045009111,126.515302,11.639101,122.607120,26.756587,3.115000,0.104895,0.005803,0.009907,0.015175,0.020209,0.033357,0.000162,309.878214,0.320000,0.944056,0.533333,104.681751,39.208799,-2.936414,8.919681,1.166653,0.496503,143,3,0.364,0
